Question,Answer
German language mein har noun ka gender kyun hota hai?,"German language mein har noun ka aik gender hota hai kyunki yeh language ka aik hissa hai, jo shayad English language ka hissa na ho, magar German aur dusri European languages mein zaroori hota hai."
German language mein gender ki kya importance hai?,"Gender German language mein important hai kyunki iski madad se hum sahi article (der, die, das) ka istemal kr saktay hain jo German communication mein clarity laati hai."
Grammatical gender kya hota hai?,"Grammatical gender ka matlab hota hai ki German language main har noun ka aik gender hota hai, jo masculine, feminine ya neuter ho sakta hai."
German language mein kitnay genders hotay hain?,"German language mein 3 genders hotay hain: Masculine, feminine, and neuter."
German zabaan main kaise noun paye jaatay hain?,"German zabaan main har noun ya toh masculine, feminine ya neuter hota hai."
Kya har noun ki German language me khud ki definite aur indefinite articles hoti hain?,"Haan, har noun ki German language me apni definite aur indefinite articles hoti hain."
Kya articles German grammar ka aham hissa hain?,"Ji haan, articles German grammar ka aik aham hissa hain."
Kyun zaroori hai articles samajhna?,Articles samajhna isliye zaroori hai kyunki yeh German grammar ka aham hissa hain.
Noun ki gender identify karne ka kya tariqa hai?,Noun ki gender ko identify karne ka aik tariqa yeh hai kih aap noun ki ending par nazar dalain.
Noun ki gender ka tasur karne mein noun ki ending ka kya kirdar hai?,"Noun ki ending, uski gender ka tasur karne mein aham kirdar ada karti hai. Mukhtalif genders ki mukhtalif endings hoti hain."
German language main gender based kis tarah assign ki jati hai nouns ko?,"German zabaan main kuch specific rules hain jin ki base par nouns ko unki gender milti hai. Ye rules usually noun ki categories, jesy masculine, feminine, neuter, ko follow kartay hain."
German zubaan main noun ki gender samajhna kyun zaroori hai?,"German zubaan main noun ki gender samajhna isliye zaroori hai kyun ke ye noun ka proper usage aur understanding main help karti hai. Gender noun ki category define karti hai jesy masculine, feminine ya neuter."
German nouns ki spelling kis tarah represent karti hai unki gender aur meaning ko?,Har German noun ki spelling uski makhsoos gender aur matlab ko zahir karti hai.
Kya har German noun ki spelling unique hoti hai?,"Ji haan, har German noun ki spelling unique hoti hai."
Kya German nouns ki spelling unki distinctiveness ko darshati hai?,"Ji haan, German nouns ki spelling unki distinctiveness ko darshati hai."
Kya German noun ki spelling uski uniqueness ko darshati hai?,"Ji haan, German noun ki spelling uski makhsoosiat ko zahir karti hai."
Q1: Jab aap sirf aik item ki taraf reference kar rahe hote hain to aap kaunse form ka istemaal karte hain?,A1: Jab hum sirf aik item ki taraf reference kar rahe hote hain to hum grammatically singular form ka istemaal karte hain.
Q2: Jab aap ek se zyada item ke baare me baat kar rahe hote hain to aap kaunse form ka istemaal karte hain?,A2: Jab hum ek se zyada item ke baare me baat kar rahe hote hain to hum plural form ka istemaal karte hain.
Q3: Kya singular form ka istemaal ek se zyada item ke liye kiya ja sakta hai?,"A3: Nahi, singular form ka istemaal sirf ek item ke liye kiya jaata hai."
Q4: Kya plural form ka istemaal sirf ek item ke liye kiya ja sakta hai?,"A4: Nahi, plural form ka istemaal ek se zyada items ke liye kiya jaata hai."
How are plurals generally formed in English?,Plurals in English are typically formed by simply adding '-s' to the noun.
Give an example of making a noun plural in English.,An example of making a noun plural in English could be from 'a cigarette' to 'two cigarettes' or from 'a house' to 'five houses'.
Are there any exceptions when forming plurals in English?,"Yes, there are exceptions when forming plurals in English."
Provide an example of an exception in forming plurals in English.,An example of an exception in forming plurals in English could be from 'a woman' to 'two women' or from 'a child' to 'three children'.
1. Kiya German main gender kay base per plural forms kai tareeqay hain?,"1. Ji han, German language main masculine, feminine aur neuter nouns ke liye typical endings ya plural formations hote hain."
2. Kaisa mashwara dia gaya hai nai words seekhnay kay liye?,2. Mashwara ye hai kay jab bhi aap nai word seekhen to us ka plural form bhi seekh len.
"{'q1': 'How do the majority of masculine nouns form their plural?', 'q2': 'What is added to most masculine nouns to form their plural?', 'q3': 'Which letter is typically added to a masculine noun to make it plural?', 'q4': 'Explain the general rule for pluralizing masculine nouns?'}","{'a1': 'The great majority of masculine nouns form their plural by just adding -e.', 'a2': '-e is added to most masculine nouns to form their plural.', 'a3': ""The letter 'e' is typically added to a masculine noun to make it plural."", 'a4': 'The general rule for making masculine nouns plural is to simply add -e to the end.'}"
"1. Kya noun '-er', '-el', or '-en' se khatam hote hain?","1. Ji haan, nouns aksar '-er', '-el', or '-en' se khatam hote hain."
2. Kya noun endings mein humesha umlaut shamil hota hai?,"2. Nahin, umlaut sirf kabhi kabhi shamil hota hai."
3. Kya ye sirf hidayaat hain?,"3. Haan, ye sirf hidayaat hain. Kuchh ajeeb iktitafat bhi hote hain."
4. Kya der Mann se die Männer ka example diya gaya hai?,"4. Ji haan, der Mann se die Männer ka example diya gaya hai."
What are the common suffixes added to women's names?,The common suffixes added to women's names are -n and -en as mentioned.
What is the purpose of adding -n or -en to a woman's name?,The purpose of adding -n or -en at the end of women's names is to indicate that they are feminine nouns.
How often are these suffixes used?,"As mentioned, these suffixes are often (Aksar) added to women's names."
Can you give examples of feminine nouns in this pattern?,The paragraph does not provide specific examples of feminine nouns that follow this pattern.
What are the common suffixes added to women's names?,The common suffixes added to women's names are -n and -en as mentioned.
What is the purpose of adding -n or -en to a woman's name?,The purpose of adding -n or -en at the end of women's names is to indicate that they are feminine nouns.
How often are these suffixes used?,"As mentioned, these suffixes are often (Aksar) added to women's names."
Can you give examples of feminine nouns in this pattern?,The paragraph does not provide specific examples of feminine nouns that follow this pattern.
Umlaut: + -e ka istemal kin female nouns mein hota hai?,Umlaut: + -e ka istemal kuch aam istemal kiye jane wale female nouns mein hota hai.
Kya 'der Film' ko plural mein kis tarah likhenge?,'der Film' ko plural mein 'die Filme' likhenge.
Kis tarah se 'der Tisch' ko plural mein likhenge?,'der Tisch' ko plural mein 'die Tische' likhenge.
Kya 'der Beruf' ko plural mein kis tarah likhenge?,'der Beruf' ko plural mein 'die Berufe' likhenge.
Misal ke liye der Kuchen ka plural kia hota hai?,Die Kuchen hota hai der Kuchen ka plural.
Apfel ka plural kia hota hai?,Die Äpfel hota hai Apfel ka plural.
Umlaut wali nouns ka kia matlab hai?,"Umlaut wali nouns ki ending mai vowel ki sound change hoti hai, jese ki der Apfel (apple) ka plural die Äpfel (apples) ho jata hai."
"Kuch nouns ki ending nahi hoti hai, iska kia matlab hai?",Kuch nouns ki ending nahi hoti hai ka matlab ye hai ki wo nouns jin ki ending change nahi hoti or sirf umlaut hota hai.
What does the heading 'Noun endings: -n or -en' signify?,The heading 'Noun endings: -n or -en' signifies that many nouns in the given language end with either -n or -en.
Can you name some nouns mentioned in the paragraph that end with -n or -en?,"The nouns mentioned in the paragraph that end with -n or -en are 'die Frauen', 'die Zeitungen', 'die Tassen', and 'die Sprachen'"
What happens when -n or -en is added to the noun 'die Frau' according to the paragraph?,"When -n or -en is added to the noun 'die Frau', it becomes 'die Frauen', which means women in English."
What is the plural form of 'die Tasse' as per the information given in the paragraph?,"According to the paragraph, the plural form of 'die Tasse' is 'die Tassen'."
1. -e + umlaut noun endings ka kiya matlab hai?,"1. -e + umlaut noun endings ka matlab hai German language me kuchh nouns ko plural form me darshane ke liye hum '-e' add karte hain aur 'a', 'o', 'u' par umlauts lagate hain."
2. '-e + umlaut' k sath kuch misalen dijiye.,"2. Kuch misalen hain: die Hand (hand) → die Hände (hands), die Stadt (city) → die Städte (cities)."
3. 'die Hand' or 'die Stadt' k umlaut forms kya hain?,3. 'Die Hand' ka umlaut form 'die Hände' hai or 'die Stadt' ka umlaut form 'die Städte' hai.
4. -e + umlaut ka use kis tarah se kiya jata hai?,4. -e + umlaut ka use tab kiya jata hai jab kisi German noun ko plural form me dikhana ho. Ye kuch specific nouns par liya jata hai.
1. Neuter nouns mein -e ka utril kis tarah hota hai?,"1. Aksariyat neuter nouns mein -e jodna parta hai, magar koi umlaut nahi."
2. 'Das Bein' ko plural mein badalne ke lie kya jodna parta hai?,"2. 'Das Bein' (tang) ko plural mein badalne ke lie '-e' end mein jodna parta hai, aur yeh ban jata hai 'die Beine' (tangain)."
3. 'Das Haar' ko plural mein badalne ke lie kya jodna parta hai?,"3. 'Das Haar' (baal) ko plural mein badalne ke lie '-e' end mein jodna parta hai, aur yeh ban jata hai 'die Haare' (baal)."
4. 'Das Jahr' ko plural mein badalne ke lie kya jodna parta hai?,"4. 'Das Jahr' (saal) ko plural mein badalne ke lie '-e' end mein jodna parta hai, aur yeh ban jata hai 'die Jahre' (saal)."
"What is a common ending when the original stem vowel is a, o, or u in neuter nouns?","The common ending is '-er' when the original stem vowel in neuter nouns is a, o, or u."
Can you give an example of a word changing with this rule as mentioned in the text?,"Yes, the word 'das Kind' (child) changes to 'die Kinder' (children)."
How does 'das Buch' (book) change according to these rules?,'Das Buch' (book) changes to 'die Bücher' (books).
What happens to the words ending with '-er'?,The words ending with '-er' have an umlaut added to the vowel in addition to the '-er' suffix.
Q1: German mein '-chen' ya '-lein' suffix ka kya matlab hai?,"A1: German mein '-chen' ya '-lein' suffix wale nouns chote ya pyare version ko show karte hain, similar to 'little' in English."
Q2: '-chen' ya '-lein' suffix wale nouns mein plural form mein kya tabdeeli ati hai?,A2: '-chen' ya '-lein' suffix wale nouns mein plural form mein koi tabdeeli nahi ati.
Q3: 'das Mädchen' ka kya matlab hota hai?,A3: 'das Mädchen' ka matlab 'ladki' hota hai.
Q4: 'das Mädchen' ko plural form mein kaise likha jata hai?,A4: 'das Mädchen' ko plural form mein 'die Mädchen' ke roop mein likha jata hai.
German mein English ya French se 'import' kiya gaya foreign words mein '-s' kis tarha add hota hai?,"German mein English ya French se 'import' kiya gaya foreign words mein '-s' add hota hai to ye plural form banta hai. For example, 'der Chef' (boss) becomes 'die Chefs' (bosses), 'die Party' (party) becomes 'die Partys' (parties), and 'das Team' (team) becomes 'die Teams' (teams)"
"Cheif, party or team ko German mein kesa represent kiya jata hai?","German mein 'der Chef', 'die Party', aur 'das Team' jese words ko use kiya jata hai jin ka English mein matlab hota hai 'boss', 'party', and 'team' respectively."
Q1: Noun ka plural form talash karne ka tariqa kiya hai?,"A1: Agar aap ko aik noun ka plural form nahin maloom, aap dictionary mein isko talashi sakty hain."
Q2: Dictionary me noun ka plural form kis number pe likha jata hai?,"A2: Plural form aam tor per teesry number per diya jata hai, jo gender aur noun ka genitive ending k baad ata hai."
Q3: 'Beruf' ka plural form kiya hai?,A3: 'Beruf' ka plural form 'Berufe' hai.
Q4: 'Reise' ka plural form kiya hai?,A4: 'Reise' ka plural form 'Reisen' hai.
"Kya umlaut ko noun ki plural banane ke liye zaroori samjha jata hai, agar uss noun ki ending '-¨' ho?","Ji haan, agar aap noun ki ending dekh rahy hain or wahan '-¨' diya hua hai, toh iska matlab hai ki ek umlaut ki zaroorat hai, jaise ki 'Vater' ko plural form mein 'Väter' banaya jata hai."
Kya kuch cases mein umlaut ke sath sath dosri ending bhi zaroori hoti hai?,"Haan, kuch cases mein umlaut ke sath sath dosri ending bhi chahye hoti hai. Jaise ki 'Hand' ko plural mein 'Hände' banane ke liye umlaut or '-e' dono add karne parenge."
Which endings are usually added to plural nouns?,"The most common plural noun endings are -e, -er (+ umlaut), -n or -en, -s or no ending."
What happens to nouns ending with -chen or -lein?,Nouns ending with -chen or -lein change to 'das Mädchen → die Mädchen'.
"What happens to nouns with endings -el, -en, -er?","Nouns with endings -el, -en, -er change to 'der Spiegel → die Spiegel'."
What usually happens to the noun 'der Vater' in plural form?,"The noun 'der Vater' usually changes to 'die Väter' in plural form, which involves adding an umlaut."
Kya die Flasche say kya murad hoti hai?,die Flasche German Zuban mein 'bottle' say murad hoti hai.
die Flasche jama form kya hai?,die Flasche ki jama form 'die Flaschen' hoti hai.
Kya die Flaschen kisi ki jama form hai?,"Ji han, die Flaschen 'die Flasche' ka jama form hai."
Misal ke taur par konsi cheez di gayi hai?,Misal ke taur par 'die Flasche' ki jama form 'die Flaschen' di gayi hai.
Ye Unit kis language ke basic rules ko samjhanay ki koshish kar rahi hai?,Ye Unit German language ke basic rules ko samjhanay ki koshish kar rahi hai.
Is Unit ke zariye humein kin cheezon ki detail main samjhaya jaye ga?,Is Unit ke zariye humein German language ke cases ki detail main samjhaya jaye ga.
Noun kaun se kirdar ada kartay hain sentence main?,"Noun sentence main mukhtalif kirdar ada kartay hain, woh ya toh agent ho sakte hain jaise 'Dog bites man' ya phir position main ho sakte hain jahan verb ka action us par ho jaise 'Dog bites man'"
German main case kis tarah signal kiya jata hai?,"German main, case ko endings ke zariye signal kiya jata hai"
Noun ke mukhtalif kirdar ko kis ke zariye signal kiya jata hai?,Noun ke mukhtalif kirdar ko case ke zariye signal kiya jata hai
Cases ko kis tarhan dikhaya jata hai?,Cases ko endings main dikhaya jata hai
Noun English sentence main kis tarah ke kirdar ada karta hai?,"Noun aik shakhs, jaga, cheez ya idea ko represent kar sakta hai, aur who mukhtalif kirdar English sentence main ada karta hai."
Noun kab subject hota hai?,Noun tab subject hota hai jab woh verb se pehle ata hai.
Pronouns kis surat main use kiye jate hain?,"Pronouns tab use kiye jate hain jab noun ke case ko zahir karna ho, jaise 'he', 'she', 'it' waghera."
Object noun sentence main kahan ata hai?,"Agar noun object hai, toh woh verb ke bad ata hai."
Are there different cases in German characters?,"Yes, there are different cases in German characters."
Can each case be linked to a specific function or role in a sentence?,"Yes, each case can be linked to a specific function or role in a sentence."
Q1: Nominative case ka konsa use hota hai?,A1: Nominative case ka use tab hota hai jab kisi noun ko sentence ka subject banaya jata hai.
Q2: Nominative case mein 'action' ka 'agent' kya hota hai?,A2: Nominative case mein 'action' ka 'agent' wo hota hai jo 'action' kar raha hota hai. Jaise ki 'The man is reading' sentence mein 'man' hoga.
'Accusative case' German language main kis ko refer krta hai?,'Accusative case' German language main noun ko tab refer krta hai jab woh sentence main direct object banta hai yaani 'action' ka 'receiver'.
German sentence 'Der Mann liest einen Roman.' ka kya matlab hai?,'Der Mann liest einen Roman.' sentence ka matlab hota hai 'Mard ek novel padh raha hai.'
Dative case ka istemal kis condition mein hota hai?,"Dative case istemal hota hai jab kisi verb ke saat ek second object bhi ho, yani indirect object ('Kis ke liye, ya kiske liye kia jaa raha hai action?')."
Der Mann gibt der Frau einen Roman. Is sentence ka kia matlab hai?,Der Mann gibt der Frau einen Roman. ka matlab hai Mard aurat ko novel de raha hai.
Genitive case ka istemal kis liye kiya jata hai?,Genitive case ka istemal do noun ke beech ka rishta batane ke liye kiya jata hai. Ye batata hai ki ek cheez dusri ki 'belongs' hai.
Der Hut des Mannes. Is vaakya ka kya matlab hai?,Der Hut des Mannes. ka matlab hai 'Mard ka topi.'
Why are cases important in terms of language usage?,"Cases are important because they determine the endings of definite articles, indefinite articles, and linked words with nouns."
How are the definite articles represented in the text?,"In the text, definite articles are represented as 'the' – der, die, das."
How are the indefinite articles represented in the text?,"In the text, indefinite articles are represented as 'a' – ein, eine, ein."
What is the role of nouns in this context?,The role of nouns in this context is that the endings of the linked words with nouns are determined by the cases.
What are the four cases in the German language?,"The four cases in the German language are Nominative, Accusative, Dative, and Genitive."
How is the indefinite article used for masculine nouns in German?,"The indefinite article is used for masculine nouns in German as follows: Nominative - ein, Accusative - einen, Dative - einem, Genitive - eines."
What is the indefinite article for Feminine German nouns in the four cases?,"The indefinite article for Feminine German nouns in the four cases is: Nominative - eine, Accusative - eine, Dative - einer, Genitive - einer."
What are the forms of indefinite article for neuter nouns in German?,"The forms of indefinite article for neuter nouns in German are: Nominative - ein, Accusative - ein, Dative - einem, Genitive - eines."
1. Case tayyar karne ke liye kia teen factors hote hain?,"1. Case tayyar karne ke liye teen factors hote hain: case noun ka role jo sentence mein play kar raha hota hai, verb, aur sentence mein prepositions."
"2. Sentence mein kis case ka use hona chahiye, iska faisla kis factors se kia jata hai?","2. Sentence mein kis case ka use hona chahiye, iska faisla verb aur sentence mein prepositions se kia jata hai."
Kya zyadatar verbs accusative ki zaroorat hoti hai?,"Ji haan, zyadatar verbs accusative ki zaroorat hoti hai."
Kya kuch khaas verbs hamesha dative ki zaroorat hoti hain?,"Ji haan, kuch specific verbs, jaise helfen ‘to help’ ya gehören ‘to belong’, hamesha dative ki zaroorat hoti hain."
Kya bohot kam verbs genitive case ko leti hain?,"Haan, bahut kam verbs genitive case ko leti hain."
Kyun 'the woman' ko German mein dative case (der Frau) mein rakha jata hai?,'The woman' (der Frau) ko German mein dative case mein rakha jata hai kyunke helfen wo verb hai jis ke baad aapko hamesha dative use karna hota hai.
German mein kis type ke prepositions ki specific case ki zaroorat hoti hai?,German mein prepositions ki specific case ki zaroorat hoti hai.
"German mein 'at', 'on', 'to', 'for' jaise prepositions kis language mein hain?","'at', 'on', 'to', 'for' jaise prepositions German mein nahi balke English mein hote hain."
German language mein 'mardana' kis tarah represent kiya jata hai?,"German language mein 'mardana' 'der', 'den', 'dem', 'des' k dwara represent kiya jata hai."
Table mein neuter ka german main kya matlab hai?,"Table mein 'neuter' matlab jis cheez ka ling nirdharit nahi hai, usse 'das', 'dem', 'des' k dwara represent kiya jata hai."
What kind of prepositions consider accusative?,Prepositions like 'durch' which means 'through' or 'für' which means 'for' consider accusative.
Can you give examples of prepositions that consider accusative?,"Yes, 'durch' which means 'through' and 'für' which means 'for' are examples of prepositions that consider accusative."
What kind of prepositions consider dative?,Prepositions like 'mit' which means 'with' or 'von' which means 'from' consider dative.
Are there many prepositions that consider genitive?,"No, there are very few prepositions that consider genitive."
What happens if you have a preposition that considers the accusative case in German?,"If you have a preposition that considers the accusative case, then in a German sentence the object must be accusative even if it is an indirect object in English."
How is the English indirect object treated in German accusative case?,"In English, indirect objects like 'for my friend' become accusative in German, as demonstrated by the phrase 'für meinen Freund'."
What is the English translation of 'Ich kaufe einen Roman für meinen Freund'?,The English translation of 'Ich kaufe einen Roman für meinen Freund' is 'I’m buying a novel for my friend'.
What happens after 'für' in German grammar?,"'Für' in German grammar is followed by the accusative case, indicating the object being referred to."
Sentences ke structure ko determine karne ke liye kis principle ka use hota hai?,"Whether the noun is the subject or the object of the sentence, iss principle ka use hota hai sentences ke structure ko determine karne ke liye."
Verbs or prepositions kis cheez ko govern karte hain?,Verbs or prepositions case ko govern karte hain.
Verbs or prepositions ka noun ke sath kya relation hota hai?,"Verbs or prepositions noun ke case ko determine karte hain, yaani ke woh noun sentence me subject hai ya object."
Sentences formation me verbs or prepositions ka kya role hota hai?,"Verbs or prepositions sentences formation me crucial role play karte hain, kyunke woh determine karte hain ke noun sentence me kya role play kar raha hai."
Sie gibt dem Mann eine Zigarette sentence main 'eine Zigarette' aur 'dem Mann' kon sa case hote hain?,eine Zigarette' accusative case main hota hai aur 'dem Mann' dative case main hota hai.
Mashq 10.2 main aapko kya karna hai?,Mashq 10.2 main aapko mukhtalif sets of sentences se objects identify karne hain aur unhen 1 aur 2 main number karna hai.
Dative case kis object ke liye use hota hai?,Dative case wo object hote hain jise kuch dia ja raha hai.
Accusative case kis object ke liye use hota hai?,Accusative case wo object hote hain jo kisi action ka direct receiver hote hain.
Mutaen shay aur Makhsos shay main kaun se endings nominative se different hain?,"Mutaen shay mein masculine, feminine aur neuter ke liye 'einen, einer, ein'  accusative, 'einem, einer, einem' dative aur 'eines, einer, eines' genitive endings nominative se different hain. Makhsos shay mein masculine, feminine aur neuter ke liye 'den, die, das' accusative, 'dem, der, dem' dative aur 'des, der, des' genitive endings nominative se different hain."
"Mashq 10.3 ke mutabiq, kaun se shay ki genitive ending 'der' hai?","Mashq 10.3 ke mutabiq, Makhsos shay ki feminine aur neuter genitive ending 'der' hai."
Kitne asool German k cases ko govern karte han?,German ke cases ko char asool govern karte hain.
Aap kon sa case subject k liye use karte han?,Hum Nominative case ko subject k liye use karte hain.
Aap normally kon sa case direct object k liye use karte han?,Hum Accusative case ko usually direct object k liye use karte hain.
Kon si words ya words k parts change hojate han jab aap different cases use karte han?,"Nouns, pronouns, articles, aur adjectives change hojate hainjab hum different cases use karte hain."
German mein Nominative case kab use hota hai?,German mein Nominative case tab istemal hota hai jab noun subject hota hai sentence mein.
Nominative case kiya hota hai?,Nominative case woh case hota hai jisme noun subject hota hai sentence mein.
Nominative case sentence mein kahan use hota hai?,Nominative case sentence mein tab istemal hota hai jab koi shakhs ya cheez koi kaam kar rahi hoti hai.
"In the context of German grammar, what is a nominative case?","In German grammar, a nominative case is used when the noun is the subject in a sentence, that is, the person or thing that is performing an action."
Kaun music sun raha hai?,Aadmi music sun raha hai.
Kaun kitab parh rahi hai?,Aurat kitab parh rahi hai.
Kaun seb khareed raha hai?,Bacha seb khareed raha hai.
Mehman kya nahi chahte?,Mehman isey nahi chahte.
Unit 10 mein kaun si cheez ke bare mein bataya gaya hai?,Unit 10 mein cases ke bare mein bataya gaya hai.
German mein 'cases' ki kyun ahemiyat hai?,German mein 'cases' ki ahemiyat isliye hai kyun ke wo nouns se jure alag alag alfaz ke endings par asar dalte hain.
Nominative case mein kis cheez par asar dalta hai?,Nominative case mein nouns se jure alag alag alfaz ke endings par asar dalta hai.
Nominative case mein endings kaisi hoti hain?,Paragraph mein specific taur par nominative case mein endings ka jikar nahi kia gaya hai. Isme sirf bataya gaya hai ke endings alag alag hoti hain.
Konsa case 'sein' aur 'werden' ke baad istemal hota hai?,Nominative case 'sein' aur 'werden' ke baad istemal hota hai.
'Sein' kia hai?,'Sein' German mein 'to be' keliye istemal hota hai.
'Werden' kia hai?,'Werden' German mein 'to become' keliye istemal hota hai.
'Sein' aur 'Werden' ke baad kon sa case istemal hota hai?,Nominative case 'sein' aur 'werden' ke baad istemal hota hai.
Q1: What is the Urdu word for 'der Mann'?,A1: The Urdu word for 'der Mann' is 'Mard'.
Q2: What does 'Aurat' mean in German?,A2: 'Aurat' means 'die Frau' in German.
Q3: How do you say 'das Kind' in Urdu?,A3: 'das Kind' is said 'Bache' in Urdu.
Q4: What is the German translation for 'Mehman'?,A4: The German translation for 'Mehman' is 'die Gaste'
What is the meaning of 'ein Mann' in the Muayaan article?,aik mard
What does 'eine Frau' translate to in the Muayaan article?,aik aurat
How is 'ein Kind' translated in the Muayaan article?,aik bacha
What is the translation of 'Gäste' in the Muayaan article?,mehman
What is the translation of 'kein Mann' in Urdu?,koi mard nahi
How do you say 'keine Frau' in Urdu?,koi aurat nahi
What does 'kein Kind' mean in Urdu?,koi bacha nahi
What is the meaning of 'keine Gäste' in Urdu?,koi mehman nahi
What is the translation of 'mein Mann'?,'mein Mann' is translated as 'mera mard' in Urdu.
What is the meaning of 'meine Frau' in Urdu?,'meine Frau' translates to 'meri aurat' in Urdu.
How do you say 'mein Kind' in Urdu?,'mein Kind' is said as 'meri bacha' in Urdu.
What is the Urdu equivalent for 'meine Gäste'?,'meine Gäste' is equivalent to 'mere mehman' in Urdu.
Us shaks ki kya pesha hai?,Woh aik engineer hai.
Kaunsa insan dilchasp hai?,Woh aik dilchasp insan hai.
Kis cheez ka ustaad banney wali hai woh?,Woh aik ustaad banney wali hai.
Kya yeh hamesha wazeh hota hai?,Yeh hamesha wazeh nahi hota.
Jumla ki shuruaat kaun kar raha hai?,Jumla ki shuruaat Class kar rahi hai.
Class kahan ja rahi hai?,Class Berlin ja rahi hai.
Khana khane ke baad kya kar raha hai woh?,Khana khane ke baad woh espresso pee raha hai.
Kaun Espresso pee raha hai?,Espresso woh pee raha hai.
What is there in Aldi Germany?,There is a supermarket in Aldi Germany.
What is the name of man in sentence three?,The name of the man is Mario.
What is someone's profession mentioned in the lines?,The profession mentioned is 'engineer'.
What is the discussion about in the content?,"The discussion is about different things including a house, a man named Mario, an old house, an interesting newspaper and Aldi supermarket in Germany."
Jab noun nominative case mein hota hai toh iska sentence mein kya kaam hota hai?,"Nominative case mein noun, sentence ka subject hota hai."
Kaunse do verbs ke baad aap nominative use karte hain?,Linking verbs 'to be' aur 'to seem' ke baad nominative case ka use hota hai.
Kaise aap sentence mein subject ko spot kar sakte hain?,Sentence mein generally subject sentence ki shuruat mein hota hai aur verb se pehle aata hai.
Nominative case kya hota hai aur ise kaise pehchana jata hai?,Nominative case noun ka basic form hota hai jo sentence ka subject hota hai. Ise sentence mein verb se pehle aane se pehchana jata hai.
Quboolia case kis muaqay par istamaal kya jata hai?,"Quboolia case German grammar ke mutabiq tab istimaal hota hai jab ism moa'ni maf'ool banta hai, yani jumla mei'amal ka markaz banta hai."
Quboolia case mei muzakar nouns ke saath kya tabdeelian aati hai?,"Quboolia case may muzakar nouns ke saath yeh tabdeeli aati hai ke moarif (jaise der, yar aik dia gaya article) taqseem hota hai; 'der' ko 'den' bana dia jata hai or 'aik' ko 'einen' bana dia jata hai."
"Ma'annas, khasiya tammaz, Jama' Mazi mei Quboolia case mei kya tabdeelian aati hai?","Quboolia case may Ma'annas, khasiya tammaz, Jama' Mazi mei koi tabdeelian aati hi nahi."
Quboolia case mei moarif 'der' or 'aik' ki tabdeelian kis tarah hoti hai?,Quboolia case mei moarif 'der' ko 'den' bana dia jata hai or 'aik' ko 'einen' bana dia jata hai.
1. Quboolia Izafiyat kya hoti hai?,1. Quboolia Izafiyat grammatical term hai jo kisi noun ya adjective ko define ya specify karne ke liye use kiya jata hai.
2. Quboolia Izafiyat ka istemal kis cheez ko dikhane ke liye hota hai?,2. Quboolia Izafiyat ka istemal noun ya adjective ko zyada makhsoos ya specific banane ke liye hota hai.
3. Moarifat ki izafiyat kis soorat mei hoti hai?,3. Moarifat ki izafiyat muzakar soorat mei hoti hai.
4. Izafiyat ka kya ending hota hai?,4. Izafiyat ka ending '-en' hota hai.
1. What is the Masculine modifier for 'Moarif Haqiqi'?,den Mann
2. What is the Neuter modifier for 'Moarif Ghair Haqiqi'?,ein Kind
3. How do you say 'no guests' by using 'Moarif Manfi'?,keine Gäste
4. How do you represent possession of 'My Guests' in the category of 'Hamiati'?,meine Gäste
Accusative case ka istemal kon kon se prepositions k baad hota hai?,"Accusative case 'bis', 'durch', 'für', 'gegen', 'ohne', ‘um’ jaisay prepositions k baad istemal hota hai."
Istemal hone wale prepositions ki misalon se samjhaen.,"Misal k taur par, 'Hum abhi aik surang k zariye guzar rahay hain' me 'durch' ko istemal kiya gaya hai. Yeh 'through' ka tarjuma hai aur isne accusative case form lia hai."
Through' or ‘for’ ko kis tarhan istemal kara jata hai accusative case k sath?,"Misal k taur par, 'Hum abhi aik surang k zariye guzar rahay hain' me 'through' yani 'durch' ko istemal kiya gaya hai accusative case me. Aur 'Kya aap is company k liye kaam kartay hain?' me 'for' yani 'für' ko istemal kiya gaya hai accusative case me."
Preposition 'gegen' kis tarhan istemal hua hai accusative case me?," 'Woh is offer k khilaf hai', me, 'gegen' yani 'against' istemal hua hai accusative case me."
1. How would we use accusative case in sentence for the noun 'der Stuhl'?,"1. For the noun 'der Stuhl', the sentence in accusative would be 'Mein Stuhl khareed raha hoon' which translates to 'I am buying my chair.'."
2. Write a sentence using the accusative case for 'ihren Bruder'?,"2. For the noun 'ihr Bruder', the sentence in accusative case would be 'Woh apnay bhai ki yaad kar rahi hai' which means 'She is missing her brother'."
3. How would we use 'eine Cola' noun on sentence using accusative case?,3. The sentence using the noun 'eine Cola' in accusative would be 'Mein aik Coca Cola lun ga' which translates to 'I will take a Coca Cola'.
4. How would we use nominative 'der Hunger' in accusative in a sentence?,"4. For the nominative 'der Hunger' in accusative case, the sentence would be 'Mujhe bhook nahi hai' that means 'I am not hungry'."
Accusative case ka istimal kis cheez k lye kiya jata hai?,Accusative case zyada tar direct object k liye istimal kiya jata hai.
Accusative case kis per depend karta hai?,Accusative case verb ya certain prepositions k upar depend karta hai.
Kitnay accusative form aik sentence me ho saktay hain?,Aik sentence me 1 se zyada accusative form ho saktay hain.
"Feminine, neuter, aur plural nouns k sath modifier k endings accusative me kya hua krti hain?","Feminine, neuter, aur plural nouns k sath, modifier k endings accusative me change nahi hoti aur wohi rehti hain jaisi k nominative me hoti hain."
Accusative case kis par depend hota hai?,Accusative case verb and kuch prepositions par depend hota hai.
